Date Time,Atomic Structure,Maximum CPU Threads,GPU Integration,GPU Eigensolver,Num Partitions,Limit,Matrix Dim,Step Size,Convergence Percentage,Max Iterations,Iteration,Total Energy,Eigensolver Time,Integration Time,Total Time,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,0,-2.30446,0.108571,0.0110124,0.123807,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,1,-2.41132,0.106384,0.0108096,0.119774,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,2,-2.34942,0.107429,0.011086,0.120999,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,3,-2.38419,0.106669,0.0110541,0.120657,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,4,-2.36433,0.107992,0.011204,0.121852,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,5,-2.37558,0.10709,0.0169363,0.127262,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,6,-2.36918,0.107047,0.0109653,0.120751,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,7,-2.37281,0.10717,0.0110599,0.120942,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,8,-2.37074,0.109043,0.0108837,0.122394,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,9,-2.37192,0.106501,0.0109465,0.119775,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,10,-2.37125,0.107964,0.0109303,0.12114,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,11,-2.37163,0.107782,0.0108845,0.121025,
2022/04/13-22:29:56,0,1,0,0,10,4,1000,0.888889,0.01,20,12,-2.37141,0.109618,0.0111513,0.123575,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,0,-2.30446,0.107153,0.11295,0.2243,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,1,-2.41132,0.109567,0.113236,0.225851,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,2,-2.34942,0.106484,0.121169,0.230998,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,3,-2.38419,0.110076,0.11424,0.227491,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,4,-2.36433,0.108094,0.124045,0.235209,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,5,-2.37558,0.119533,0.12009,0.242746,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,6,-2.36918,0.114361,0.116327,0.234168,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,7,-2.3728,0.110498,0.115265,0.228991,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,8,-2.37075,0.109154,0.124493,0.237132,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,9,-2.37191,0.1084,0.115991,0.227762,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,10,-2.37125,0.108446,0.135769,0.247473,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,11,-2.37163,0.108845,0.114253,0.226175,
2022/04/13-22:30:00,0,1,1,0,10,4,1000,0.888889,0.01,20,12,-2.37141,0.109569,0.122634,0.235501,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,0,-2.30446,0.819299,0.0113088,0.83686,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,1,-2.41132,0.810394,0.0114753,0.824899,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,2,-2.34942,0.806433,0.0114521,0.820842,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,3,-2.38419,0.764428,0.0109279,0.778347,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,4,-2.36433,0.763975,0.0112828,0.778149,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,5,-2.37558,0.764875,0.0108531,0.778461,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,6,-2.36918,0.770221,0.011189,0.784643,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,7,-2.3728,0.778605,0.0112303,0.792919,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,8,-2.37074,0.767113,0.0113351,0.781604,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,9,-2.37192,0.747117,0.0109544,0.761001,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,10,-2.37125,0.765386,0.0109149,0.77954,
