Time,Atomic,Threads,GPU Int,GPU Eig,Parts,Limit,Dim,Step,Conv,Max Its,It,Total E,Eig Time,Int Time,Total Time,
2022/04/14-23:47:45,0,1,0,0,10,4,1000,0.888889,0.01,20,0,-2.36833,0.111164,0.0129043,0.126866,
2022/04/14-23:47:49,0,1,1,0,10,4,1000,0.888889,0.01,20,0,-2.36833,0.111728,0.108908,0.223851,
2022/04/14-23:48:00,0,1,0,1,10,4,1000,0.888889,0.01,20,0,-2.36833,0.755883,0.0126469,0.771581,
2022/04/14-23:48:12,0,1,1,1,10,4,1000,0.888889,0.01,20,0,-2.36833,0.624518,0.237239,0.865292,
2022/04/14-23:48:14,0,16,0,0,10,4,1000,0.888889,0.01,20,0,-2.36833,0.0884459,0.0227993,0.114083,
2022/04/14-23:48:18,0,16,1,0,10,4,1000,0.888889,0.01,20,0,-2.36833,0.0904976,0.147339,0.241082,
2022/04/14-23:48:29,0,16,0,1,10,4,1000,0.888889,0.01,20,0,-2.36833,0.767725,0.0125434,0.783477,
2022/04/14-23:48:41,0,16,1,1,10,4,1000,0.888889,0.01,20,0,-2.36833,0.601446,0.244452,0.850107,
2022/04/14-23:48:56,0,1,0,0,15,4,3375,0.571429,0.01,20,0,-37.1328,3.59125,0.14325,3.78447,
2022/04/14-23:49:12,0,1,1,0,15,4,3375,0.571429,0.01,20,0,-37.1328,3.57255,0.110322,3.733,
2022/04/14-23:49:17,0,1,0,1,15,4,3375,0.571429,0.01,20,0,-37.1328,1.01564,0.14297,1.21314,
2022/04/14-23:49:22,0,1,1,1,15,4,3375,0.571429,0.01,20,0,-37.1328,0.887699,0.237115,1.1785,
2022/04/14-23:49:27,0,16,0,0,15,4,3375,0.571429,0.01,20,0,-37.1328,1.09616,0.164888,1.31689,
2022/04/14-23:49:32,0,16,1,0,15,4,3375,0.571429,0.01,20,0,-37.1328,1.08688,0.139563,1.28162,
2022/04/14-23:49:37,0,16,0,1,15,4,3375,0.571429,0.01,20,0,-37.1328,0.954563,0.143313,1.15144,
2022/04/14-23:49:42,0,16,1,1,15,4,3375,0.571429,0.01,20,0,-37.1328,0.823159,0.24778,1.12387,
2022/04/14-23:53:11,0,1,0,0,20,4,8000,0.421053,0.01,20,0,-3.53173,51.389,0.80447,52.48,
2022/04/14-23:56:36,0,1,1,0,20,4,8000,0.421053,0.01,20,0,-3.53173,50.8863,0.139602,51.3105,
2022/04/14-23:56:48,0,1,0,1,20,4,8000,0.421053,0.01,20,0,-3.53173,2.10314,0.804097,3.22095,
2022/04/14-23:56:58,0,1,1,1,20,4,8000,0.421053,0.01,20,0,-3.53174,1.95676,0.247918,2.51844,
2022/04/14-23:58:10,0,16,0,0,20,4,8000,0.421053,0.01,20,0,-3.53173,16.8533,0.822801,17.9773,
2022/04/14-23:59:19,0,16,1,0,20,4,8000,0.421053,0.01,20,0,-3.53173,16.8442,0.148761,17.2948,
2022/04/14-23:59:31,0,16,0,1,20,4,8000,0.421053,0.01,20,0,-3.53173,1.97199,0.810071,3.0883,
2022/04/14-23:59:41,0,16,1,1,20,4,8000,0.421053,0.01,20,0,-3.53174,1.86664,0.261772,2.4401,
2022/04/15-00:25:57,0,1,0,0,25,4,15625,0.333333,0.01,20,0,-4.23284,390.21,3.2089,394.642,
2022/04/15-00:51:56,0,1,1,0,25,4,15625,0.333333,0.01,20,0,-4.23284,388.684,0.148887,389.933,
2022/04/15-00:52:41,0,1,0,1,25,4,15625,0.333333,0.01,20,0,-4.23285,7.39039,3.14876,11.868,
2022/04/15-00:53:16,0,1,1,1,25,4,15625,0.333333,0.01,20,0,-4.23284,7.20714,0.274435,8.70885,
2022/04/15-01:04:11,0,16,0,0,25,4,15625,0.333333,0.01,20,0,-4.23284,160.633,3.14883,164.988,
2022/04/15-01:14:52,0,16,1,0,25,4,15625,0.333333,0.01,20,0,-4.23284,159.43,0.151372,160.707,
2022/04/15-01:15:36,0,16,0,1,25,4,15625,0.333333,0.01,20,0,-4.23285,7.32644,3.12298,11.7889,
2022/04/15-01:16:12,0,16,1,1,25,4,15625,0.333333,0.01,20,0,-4.23284,6.95004,0.283693,8.42202,
2022/04/15-02:57:35,0,1,0,0,30,4,27000,0.275862,0.01,20,0,-3.7755,2018.97,10.0471,2033.34,
2022/04/15-04:38:02,0,1,1,0,30,4,27000,0.275862,0.01,20,0,-3.7755,2004.73,0.152386,2008.43,
2022/04/15-04:40:00,0,1,0,1,30,4,27000,0.275862,0.01,20,0,-3.7755,29.0513,9.21363,42.2601,
2022/04/15-04:41:41,0,1,1,1,30,4,27000,0.275862,0.01,20,0,-3.7755,28.5714,0.389521,33.9018,
2022/04/15-05:26:12,0,16,0,0,30,4,27000,0.275862,0.01,20,0,-3.7755,877.847,9.36167,891.473,
2022/04/15-06:10:27,0,16,1,0,30,4,27000,0.275862,0.01,20,0,-3.7755,880.247,0.149073,883.721,
2022/04/15-06:12:23,0,16,0,1,30,4,27000,0.275862,0.01,20,0,-3.7755,28.9025,9.19418,41.9899,
2022/04/15-06:14:01,0,16,1,1,30,4,27000,0.275862,0.01,20,0,-3.7755,28.5646,0.36062,32.5395,
